Regions,City,Latitude,Longitude,Murder,Rape,Kidnapping,Robbery,Holding hostage,Riot,Arson,Assault,Covid
Sector 7 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 70 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 7C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 8 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 8A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 8B ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 8C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 9 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 9C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 9D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector17 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Adyar,Chennai,,,0,0,0,0,0,0,0,0,0
Anna Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Besant Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Egmore,Chennai,,,0,0,0,0,0,0,0,0,0
George Town,Chennai,,,0,0,0,0,0,0,0,0,0
Kodambakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Mylapore,Chennai,,,0,0,0,0,0,0,0,0,0
Perambur,Chennai,,,0,0,0,0,0,0,0,0,0
Nungambakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Vadapalani,Chennai,,,0,0,0,0,0,0,0,0,0
Abhiramapuram,Chennai,,,0,0,0,0,0,0,0,0,0
Adambakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Agaram,Chennai,,,0,0,0,0,0,0,0,0,0
Alandur,Chennai,,,0,0,0,0,0,0,0,0,0
Alapakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Alwarthirunagar,Chennai,,,0,0,0,0,0,0,0,0,0
Alwarpet,Chennai,,,0,0,0,0,0,0,0,0,0
Ambattur,Chennai,,,0,0,0,0,0,0,0,0,0
Ambattur Industrial Estate,Chennai,,,0,0,0,0,0,0,0,0,0
Ambattur OT,Chennai,,,0,0,0,0,0,0,0,0,0
Aminjikarai,Chennai,,,0,0,0,0,0,0,0,0,0
Anna Nagar East,Chennai,,,0,0,0,0,0,0,0,0,0
Anna Nagar Western Extension,Chennai,,,0,0,0,0,0,0,0,0,0
Anna Nagar West,Chennai,,,0,0,0,0,0,0,0,0,0
Anna Road,Chennai,,,0,0,0,0,0,0,0,0,0
Anna Salai,Chennai,,,0,0,0,0,0,0,0,0,0
Arcot Road,Chennai,,,0,0,0,0,0,0,0,0,0
Arumbakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Ashok Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Attipatttu,Chennai,,,0,0,0,0,0,0,0,0,0
Avadi,Chennai,,,0,0,0,0,0,0,0,0,0
Ayanavaram,Chennai,,,0,0,0,0,0,0,0,0,0
Ayyappanthangal,Chennai,,,0,0,0,0,0,0,0,0,0
Broadway,Chennai,,,0,0,0,0,0,0,0,0,0
Cathedral Road,Chennai,,,0,0,0,0,0,0,0,0,0
Chepauk,Chennai,,,0,0,0,0,0,0,0,0,0
Chetpet,Chennai,,,0,0,0,0,0,0,0,0,0
Chintadripet,Chennai,,,0,0,0,0,0,0,0,0,0
Chinmaya Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Choolai,Chennai,,,0,0,0,0,0,0,0,0,0
Choolaimedu,Chennai,,,0,0,0,0,0,0,0,0,0
CIT Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
East Coast Road,Chennai,,,0,0,0,0,0,0,0,0,0
Ekkatuthangal,Chennai,,,0,0,0,0,0,0,0,0,0
Ennore,Chennai,,,0,0,0,0,0,0,0,0,0
Ernavur,Chennai,,,0,0,0,0,0,0,0,0,0
Erukkancheri,Chennai,,,0,0,0,0,0,0,0,0,0
Flowers Road,Chennai,,,0,0,0,0,0,0,0,0,0
Gandhi Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Gopalapuram,Chennai,,,0,0,0,0,0,0,0,0,0
Gowrivakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Greams Road,Chennai,,,0,0,0,0,0,0,0,0,0
Guindy,Chennai,,,0,0,0,0,0,0,0,0,0
Guindy Industrial Estate,Chennai,,,0,0,0,0,0,0,0,0,0
Gurukkambakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Haddows Road,Chennai,,,0,0,0,0,0,0,0,0,0
Hastinapuram,Chennai,,,0,0,0,0,0,0,0,0,0
IIT Madras,Chennai,,,0,0,0,0,0,0,0,0,0
Indira Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Injambakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Jafferkhanpet,Chennai,,,0,0,0,0,0,0,0,0,0
Jawahar Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Kaladipet,Chennai,,,0,0,0,0,0,0,0,0,0
Kamaraj Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Kandanchavadi,Chennai,,,0,0,0,0,0,0,0,0,0
Karambakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Karapakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Kattupakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Kilkattalai,Chennai,,,0,0,0,0,0,0,0,0,0
Kellys,Chennai,,,0,0,0,0,0,0,0,0,0
Kilpauk,Chennai,,,0,0,0,0,0,0,0,0,0
Kilpauk Garden,Chennai,,,0,0,0,0,0,0,0,0,0
KK Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
KK Nagar West,Chennai,,,0,0,0,0,0,0,0,0,0
Kodungaiyur,Chennai,,,0,0,0,0,0,0,0,0,0
Kolathur,Chennai,,,0,0,0,0,0,0,0,0,0
Kondithope,Chennai,,,0,0,0,0,0,0,0,0,0
Korattur,Chennai,,,0,0,0,0,0,0,0,0,0
Korukkupet,Chennai,,,0,0,0,0,0,0,0,0,0
Kottivakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Kottur,Chennai,,,0,0,0,0,0,0,0,0,0
Kotturpuram,Chennai,,,0,0,0,0,0,0,0,0,0
Kovilambakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Koyambedu,Chennai,,,0,0,0,0,0,0,0,0,0
Kosapet,Chennai,,,0,0,0,0,0,0,0,0,0
Little Mount,Chennai,,,0,0,0,0,0,0,0,0,0
Madambakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Madhavaram,Chennai,,,0,0,0,0,0,0,0,0,0
Madipakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Maduravoyal,Chennai,,,0,0,0,0,0,0,0,0,0
Mahalingapuram,Chennai,,,0,0,0,0,0,0,0,0,0
Mambalam,Chennai,,,0,0,0,0,0,0,0,0,0
Manali,Chennai,,,0,0,0,0,0,0,0,0,0
Manapakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Mandaveli,Chennai,,,0,0,0,0,0,0,0,0,0
Mandavelipakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Mangadu,Chennai,,,0,0,0,0,0,0,0,0,0
Mannady,Chennai,,,0,0,0,0,0,0,0,0,0
Mannurpet,Chennai,,,0,0,0,0,0,0,0,0,0
Medavakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Meenambakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Metha Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Mettukuppam,Chennai,,,0,0,0,0,0,0,0,0,0
MGR Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
MKB Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Mogapper,Chennai,,,0,0,0,0,0,0,0,0,0
Mogapper East,Chennai,,,0,0,0,0,0,0,0,0,0
Mogapper West,Chennai,,,0,0,0,0,0,0,0,0,0
Moolakadai,Chennai,,,0,0,0,0,0,0,0,0,0
Mount Road,Chennai,,,0,0,0,0,0,0,0,0,0
Mylapur,Chennai,,,0,0,0,0,0,0,0,0,0
Nammalwarpt,Chennai,,,0,0,0,0,0,0,0,0,0
Nandambakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Nandanam,Chennai,,,0,0,0,0,0,0,0,0,0
Nandanam extension,Chennai,,,0,0,0,0,0,0,0,0,0
Nanganallur,Chennai,,,0,0,0,0,0,0,0,0,0
Nehru Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Nelson Manickam Road,Chennai,,,0,0,0,0,0,0,0,0,0
Nerkundram,Chennai,,,0,0,0,0,0,0,0,0,0
Nesapakkam,Chennai,,,0,0,0,0,0,0,0,0,0
New Perungalathur,Chennai,,,0,0,0,0,0,0,0,0,0
New Washermanpet,Chennai,,,0,0,0,0,0,0,0,0,0
Neelankarai,Chennai,,,0,0,0,0,0,0,0,0,0
North Usman Road,Chennai,,,0,0,0,0,0,0,0,0,0
Nungambakkam High Road,Chennai,,,0,0,0,0,0,0,0,0,0
Old Mahabalipuram Road,Chennai,,,0,0,0,0,0,0,0,0,0
Old Pallavaram,Chennai,,,0,0,0,0,0,0,0,0,0
Old Washermanpet,Chennai,,,0,0,0,0,0,0,0,0,0
Otteri,Chennai,,,0,0,0,0,0,0,0,0,0
Padi,Chennai,,,0,0,0,0,0,0,0,0,0
Palavakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Palavanthangal,Chennai,,,0,0,0,0,0,0,0,0,0
Pallavaram,Chennai,,,0,0,0,0,0,0,0,0,0
Pallikaranai,Chennai,,,0,0,0,0,0,0,0,0,0
Pammal,Chennai,,,0,0,0,0,0,0,0,0,0
Park Town,Chennai,,,0,0,0,0,0,0,0,0,0
Parrys,Chennai,,,0,0,0,0,0,0,0,0,0
Pattalam,Chennai,,,0,0,0,0,0,0,0,0,0
Pazhavanthangal,Chennai,,,0,0,0,0,0,0,0,0,0
Perambur Barracks Road,Chennai,,,0,0,0,0,0,0,0,0,0
Peravallur,Chennai,,,0,0,0,0,0,0,0,0,0
Periyamedu,Chennai,,,0,0,0,0,0,0,0,0,0
Periyar Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Perungudi,Chennai,,,0,0,0,0,0,0,0,0,0
Polichalur,Chennai,,,0,0,0,0,0,0,0,0,0
Pondy Bazaar,Chennai,,,0,0,0,0,0,0,0,0,0
Ponniammanmedu,Chennai,,,0,0,0,0,0,0,0,0,0
Poonamalle High Road,Chennai,,,0,0,0,0,0,0,0,0,0
Porur,Chennai,,,0,0,0,0,0,0,0,0,0
Pozhichalur,Chennai,,,0,0,0,0,0,0,0,0,0
Pudupet,Chennai,,,0,0,0,0,0,0,0,0,0
Pulianthope,Chennai,,,0,0,0,0,0,0,0,0,0
Puludivakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Purasavakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Purasavakkam High Road,Chennai,,,0,0,0,0,0,0,0,0,0
RA Puram,Chennai,,,0,0,0,0,0,0,0,0,0
Raja Annamalai Puram,Chennai,,,0,0,0,0,0,0,0,0,0
Rajaji Salai,Chennai,,,0,0,0,0,0,0,0,0,0
Rajakilpakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Ramapuram,Chennai,,,0,0,0,0,0,0,0,0,0
Rangarajapuarm,Chennai,,,0,0,0,0,0,0,0,0,0
Royapettah,Chennai,,,0,0,0,0,0,0,0,0,0
Royapettah high road,Chennai,,,0,0,0,0,0,0,0,0,0
Royapuram,Chennai,,,0,0,0,0,0,0,0,0,0
Saidapet,Chennai,,,0,0,0,0,0,0,0,0,0
Saidapet West,Chennai,,,0,0,0,0,0,0,0,0,0
Saligramam,Chennai,,,0,0,0,0,0,0,0,0,0
Santhome,Chennai,,,0,0,0,0,0,0,0,0,0
Selaiyur,Chennai,,,0,0,0,0,0,0,0,0,0
Sembakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Seven Wells,Chennai,,,0,0,0,0,0,0,0,0,0
Shastri Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Shenoy Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Sholinganallur,Chennai,,,0,0,0,0,0,0,0,0,0
SIDCO Industrial Estate,Chennai,,,0,0,0,0,0,0,0,0,0
Sholinganallur,Chennai,,,0,0,0,0,0,0,0,0,0
Sowcarpet,Chennai,,,0,0,0,0,0,0,0,0,0
Spencer Plaza,Chennai,,,0,0,0,0,0,0,0,0,0
Srinivasa Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
St Thomas Mount,Chennai,,,0,0,0,0,0,0,0,0,0
Parangi Malai,Chennai,,,0,0,0,0,0,0,0,0,0
T. Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Thillai Ganga Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Taramani,Chennai,,,0,0,0,0,0,0,0,0,0
Teynampet,Chennai,,,0,0,0,0,0,0,0,0,0
Tharamani,Chennai,,,0,0,0,0,0,0,0,0,0
Thirumangalam,Chennai,,,0,0,0,0,0,0,0,0,0
Thirmulaivoyal,Chennai,,,0,0,0,0,0,0,0,0,0
Thiruvanmiyur,Chennai,,,0,0,0,0,0,0,0,0,0
Thiruverkadu,Chennai,,,0,0,0,0,0,0,0,0,0
Tiruvottiyur,Chennai,,,0,0,0,0,0,0,0,0,0
Thuraipakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Thousand Lights,Chennai,,,0,0,0,0,0,0,0,0,0
Thiyagaraya Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
Tirumullaivayal,Chennai,,,0,0,0,0,0,0,0,0,0
Thiruvallikeni,Chennai,,,0,0,0,0,0,0,0,0,0
Tiruverkadu Road,Chennai,,,0,0,0,0,0,0,0,0,0
Tondiarpet,Chennai,,,0,0,0,0,0,0,0,0,0
Triplicane,Chennai,,,0,0,0,0,0,0,0,0,0
Triplicane High Road,Chennai,,,0,0,0,0,0,0,0,0,0
Triplicane South,Chennai,,,0,0,0,0,0,0,0,0,0
Ullagaram,Chennai,,,0,0,0,0,0,0,0,0,0
Urapakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Valasaravakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Vanagaram,Chennai,,,0,0,0,0,0,0,0,0,0
Velachery,Chennai,,,0,0,0,0,0,0,0,0,0
Velachery Main Road,Chennai,,,0,0,0,0,0,0,0,0,0
Vepery,Chennai,,,0,0,0,0,0,0,0,0,0
Villivakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Virugambakkam,Chennai,,,0,0,0,0,0,0,0,0,0
Vyasarpadi,Chennai,,,0,0,0,0,0,0,0,0,0
Washermanpet,Chennai,,,0,0,0,0,0,0,0,0,0
West CIT Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
West K.K. Nagar,Chennai,,,0,0,0,0,0,0,0,0,0
West Mambalam,Chennai,,,0,0,0,0,0,0,0,0,0
Mogappair West,Chennai,,,0,0,0,0,0,0,0,0,0
West Saidapet,Chennai,,,0,0,0,0,0,0,0,0,0
Avarampalayam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Avinashi Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
ATT Colony ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Govt Arts College Road,Coimbatore,,,0,0,0,0,0,0,0,0,0
Avaram Palayam Road,Coimbatore,,,0,0,0,0,0,0,0,0,0
Bharathi Colony ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Big Bazaar Street ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Bharathi Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Bharathi Park Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Bharathiyar Road,Coimbatore,,,0,0,0,0,0,0,0,0,0
Cheran Ma Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Codissia ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Chinnavedampatti ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Damu Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Dr Jaganathan Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Eachanari Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Edayar Street ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Edayarpalayam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Ganapathy ,Coimbatore,,,0,0,0,0,0,0,0,0,0
GN Mills,Coimbatore,,,0,0,0,0,0,0,0,0,0
GV Residency Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Gandhipuram ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Goods Shed Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
GKS Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Gurusamy Nagar Road,Coimbatore,,,0,0,0,0,0,0,0,0,0
Huzur Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Jagannatha Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Kamaraj Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Kavundampalayam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Kothari Layout ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Krishna Colony ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Kurichi ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Kalapatti ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Koundampalayam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Krishnaswamy Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Kurumbapalayam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Kalappanaickenpalayam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Kovai Pudur ,Coimbatore,,,0,0,0,0,0,0,0,0,0
KK Pudur ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Koyampattur ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Kuniamuthur ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Lakshmi Mills Junction ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Lakshmi Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
MTP Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Madukkarai ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Maruthamalai Road,Coimbatore,,,0,0,0,0,0,0,0,0,0
Mettupalayam Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Dr Nanjappa Road,Coimbatore,,,0,0,0,0,0,0,0,0,0
Nehru Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Dhamu Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Navavoor Pirivu ,Coimbatore,,,0,0,0,0,0,0,0,0,0
NGGO Colony ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Ondipudur ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Pappanaicken Pudur ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Pappanaickenpalayam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Periasamy Road,Coimbatore,,,0,0,0,0,0,0,0,0,0
Podanur ,Coimbatore,,,0,0,0,0,0,0,0,0,0
P.N.Palayam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Pappanaicken Pudur ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Palathurai Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Pannimadai ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Perur Main Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Puliakulam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Peelamedu ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Puliakulam Road,Coimbatore,,,0,0,0,0,0,0,0,0,0
RS Puram ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Ramanathapuram ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Rathinapuri ,Coimbatore,,,0,0,0,0,0,0,0,0,0
GD Layout ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Rajiv Gandhi Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Ramasamy Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Redfields ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Ram Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Race Course ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Saibaba Colony ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Sakthi Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Sanganur Pallam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Saravanampatti ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Sathy Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Selvapuram ,Coimbatore,,,0,0,0,0,0,0,0,0,0
SIHS Colony ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Singanallur ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Siruvani Main Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
SITRA,Coimbatore,,,0,0,0,0,0,0,0,0,0
Sivananda Colony ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Sowripalayam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Sri vignesh nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Sugar Cane Institute Road,Coimbatore,,,0,0,0,0,0,0,0,0,0
Sundarapuram ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Sungam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Swamy Iyer New Street,Coimbatore,,,0,0,0,0,0,0,0,0,0
Vellalore Road,Coimbatore,,,0,0,0,0,0,0,0,0,0
Tatabad ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Thudiyalur ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Teachers Colony ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Telungu Palayam Road,Coimbatore,,,0,0,0,0,0,0,0,0,0
Thondamuthur Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Trichy Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Thadagam Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
TVS Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Ukkadam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Uppilipalayam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Vedapatti Road,Coimbatore,,,0,0,0,0,0,0,0,0,0
Velandipalayam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
VOC Nagar ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Vadavalli ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Vellakinar Road,Coimbatore,,,0,0,0,0,0,0,0,0,0
Vilankurichi Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Vellalore ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Vinayaka Street ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Varadharajapuram ,Coimbatore,,,0,0,0,0,0,0,0,0,0
VKK Menon Road ,Coimbatore,,,0,0,0,0,0,0,0,0,0
W Club Road,Coimbatore,,,0,0,0,0,0,0,0,0,0
Selvapuram North ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Singanallur ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Sowripalayam ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Sukrawar Pettai ,Coimbatore,,,0,0,0,0,0,0,0,0,0
Ajronda Chowk  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Ashoka Enclave Part 3  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Agwanpur  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Anangpur Dairy  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Ajit Nagar  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Ankhir  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Ajronda  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Ashoka Enclave  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Badkhal Chowk  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Ballabhgarh  ,Faridabad,,,0,0,0,0,0,0,0,0,0
BPTP Parkland  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Basantpur  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Charmwood Village  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Chawla Colony  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Dabuwa Colony  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Dayal Bagh ,Faridabad,,,0,0,0,0,0,0,0,0,0
Dabua Colony  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Dayal Basti  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Dav College ,Faridabad,,,0,0,0,0,0,0,0,0,0
Faridpur  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Friends Colony  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Gandhi Colony  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Ghazipur  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Gurukul Basti  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Gurukul Road  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Greenfield Colony  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Gopi Colony  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Hardware Colony  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Industrial Area  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Independant Kothi  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Indraprastha Colony  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Ismailpur Road ,Faridabad,,,0,0,0,0,0,0,0,0,0
Jawahar Colony  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Jeevan Nagar  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Katan Pahari  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Kheri Road  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Lakkarpur  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Mewala Maharajpur  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Mujesar  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Mathura Road  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Neharpar Faridabad  ,Faridabad,,,0,0,0,0,0,0,0,0,0
New Industrial Township 2  ,Faridabad,,,0,0,0,0,0,0,0,0,0
New Industrial Township  ,Faridabad,,,0,0,0,0,0,0,0,0,0
New Industrial Township 3  ,Faridabad,,,0,0,0,0,0,0,0,0,0
NH-2  ,Faridabad,,,0,0,0,0,0,0,0,0,0
New Industrial Township 4  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Nehru Colony  ,Faridabad,,,0,0,0,0,0,0,0,0,0
New Industrial Township 1  ,Faridabad,,,0,0,0,0,0,0,0,0,0
New Industrial Township 5  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Parvatiya Colony  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Raveev Nagar  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Sainik Colony  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Sector 12  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Sector 15  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Sector 17  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Sector 20  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Sector 21C  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Sector 23-A  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Sector 27/A  ,Faridabad,,,0,0,0,0,0,0,0,0,0
Sector 30  ,Faridabad,,,0,0,0,0,0,0,0,0,0
